"kode","kota","propinsi","region"
"1","Aceh Barat","NAD Aceh","Region 6"
"2","Aceh Barat Daya","NAD Aceh","Region 6"
"3","Aceh Besar","NAD Aceh","Region 6"
"4","Aceh Jaya","NAD Aceh","Region 6"
"5","Aceh Selatan","NAD Aceh","Region 6"
"6","Aceh Singkil","NAD Aceh","Region 6"
"7","Aceh Tamiang","NAD Aceh","Region 6"
"8","Aceh Tengah","NAD Aceh","Region 6"
"9","Aceh Tenggara","NAD Aceh","Region 6"
"10","Aceh Timur","NAD Aceh","Region 6"
"11","Aceh Utara","NAD Aceh","Region 6"
"12","Bener Meriah","NAD Aceh","Region 6"
"13","Bireuen","NAD Aceh","Region 6"
"14","Gayo Lues","NAD Aceh","Region 6"
"15","Nagan Raya","NAD Aceh","Region 6"
"16","Pidie","NAD Aceh","Region 6"
"17","Pidie Jaya","NAD Aceh","Region 6"
"18","Simeulue","NAD Aceh","Region 6"
"19","Banda Aceh","NAD Aceh","Region 6"
"20","Langsa","NAD Aceh","Region 6"
"21","Lhokseumawe","NAD Aceh","Region 6"
"22","Sabang","NAD Aceh","Region 6"
"23","Subulussalam","NAD Aceh","Region 6"
"24","Asahan","Sumatera Utara","Region 6"
"25","Batubara","Sumatera Utara","Region 6"
"26","Dairi","Sumatera Utara","Region 6"
"27","Deli Serdang","Sumatera Utara","Region 6"
"28","Humbang Hasundutan","Sumatera Utara","Region 6"
"29","Karo","Sumatera Utara","Region 6"
"30","Labuhanbatu","Sumatera Utara","Region 6"
"31","Labuhanbatu Selatan","Sumatera Utara","Region 6"
"32","Labuhanbatu Utara","Sumatera Utara","Region 6"
"33","Langkat","Sumatera Utara","Region 6"
"34","Mandailing Natal","Sumatera Utara","Region 6"
"35","Nias","Sumatera Utara","Region 6"
"36","Nias Barat","Sumatera Utara","Region 6"
"37","Nias Selatan","Sumatera Utara","Region 6"
"38","Nias Utara","Sumatera Utara","Region 6"
"39","Padang Lawas","Sumatera Utara","Region 6"
"40","Padang Lawas Utara","Sumatera Utara","Region 6"
"41","Pakpak Bharat","Sumatera Utara","Region 6"
"42","Samosir","Sumatera Utara","Region 6"
"43","Serdang Bedagai","Sumatera Utara","Region 6"
"44","Simalungun","Sumatera Utara","Region 6"
"45","Tapanuli Selatan","Sumatera Utara","Region 6"
"46","Tapanuli Tengah","Sumatera Utara","Region 6"
"47","Tapanuli Utara","Sumatera Utara","Region 6"
"48","Toba Samosir","Sumatera Utara","Region 6"
"49","Binjai","Sumatera Utara","Region 6"
"50","Gunungsitoli","Sumatera Utara","Region 6"
"51","Medan","Sumatera Utara","Region 6"
"52","Padangsidempuan","Sumatera Utara","Region 6"
"53","Pematangsiantar","Sumatera Utara","Region 6"
"54","Sibolga","Sumatera Utara","Region 6"
"55","Tanjungbalai","Sumatera Utara","Region 6"
"56","Tebing Tinggi","Sumatera Utara","Region 6"
"57","Agam","Sumatera Barat","Region 7"
"58","Dharmasraya","Sumatera Barat","Region 7"
"59","Kepulauan Mentawai","Sumatera Barat","Region 7"
"60","Lima Puluh","Sumatera Barat","Region 7"
"61","Padang Pariaman","Sumatera Barat","Region 7"
"62","Pasaman","Sumatera Barat","Region 7"
"63","Pasaman Barat","Sumatera Barat","Region 7"
"64","Pesisir Selatan","Sumatera Barat","Region 7"
"65","Sijunjung","Sumatera Barat","Region 7"
"66","Solok","Sumatera Barat","Region 7"
"67","Solok Selatan","Sumatera Barat","Region 7"
"68","Tanah Datar","Sumatera Barat","Region 7"
"69","Bukittinggi","Sumatera Barat","Region 7"
"70","Padang","Sumatera Barat","Region 7"
"71","Padangpanjang","Sumatera Barat","Region 7"
"72","Pariaman","Sumatera Barat","Region 7"
"73","Payakumbuh","Sumatera Barat","Region 7"
"74","Sawahlunto","Sumatera Barat","Region 7"
"75","Solok","Sumatera Barat","Region 7"
"76","Banyuasin","Sumatera Selatan","Region 7"
"77","Empat Lawang","Sumatera Selatan","Region 7"
"78","Lahat","Sumatera Selatan","Region 7"
"79","Muara Enim","Sumatera Selatan","Region 7"
"80","Musi Banyuasin","Sumatera Selatan","Region 7"
"81","Musi Rawas","Sumatera Selatan","Region 7"
"82","Musi Rawas Utara","Sumatera Selatan","Region 7"
"83","Ogan Ilir","Sumatera Selatan","Region 7"
"84","Ogan Komering Ilir","Sumatera Selatan","Region 7"
"85","Ogan Komering Ulu","Sumatera Selatan","Region 7"
"86","Ogan Komering Ulu Selatan","Sumatera Selatan","Region 7"
"87","Ogan Komering Ulu Timur","Sumatera Selatan","Region 7"
"88","Penukal Abab Lematang Ilir","Sumatera Selatan","Region 7"
"89","Lubuklinggau","Sumatera Selatan","Region 7"
"90","Pagar Alam","Sumatera Selatan","Region 7"
"91","Palembang","Sumatera Selatan","Region 7"
"92","Prabumulih","Sumatera Selatan","Region 7"
"93","Bengkalis","Riau","Region 7"
"94","Indragiri Hilir","Riau","Region 7"
"95","Indragiri Hulu","Riau","Region 7"
"96","Kampar","Riau","Region 7"
"97","Kepulauan Meranti","Riau","Region 7"
"98","Kuantan Singingi","Riau","Region 7"
"99","Pelalawan","Riau","Region 7"
"100","Rokan Hilir","Riau","Region 7"
"101","Rokan Hulu","Riau","Region 7"
"102","Siak","Riau","Region 7"
"103","Dumai","Riau","Region 7"
"104","Pekanbaru","Riau","Region 7"
"105","Bintan","Kepulauan Riau","Region 6"
"106","Karimun","Kepulauan Riau","Region 6"
"107","Kepulauan Anambas","Kepulauan Riau","Region 6"
"108","Lingga","Kepulauan Riau","Region 6"
"109","Natuna","Kepulauan Riau","Region 6"
"110","Batam","Kepulauan Riau","Region 6"
"111","Tanjung Pinang","Kepulauan Riau","Region 6"
"112","Batanghari","Jambi","Region 7"
"113","Bungo","Jambi","Region 7"
"114","Kerinci","Jambi","Region 7"
"115","Merangin","Jambi","Region 7"
"116","Muaro Jambi","Jambi","Region 7"
"117","Sarolangun","Jambi","Region 7"
"118","Tanjung Jabung Barat","Jambi","Region 7"
"119","Tanjung Jabung Timur","Jambi","Region 7"
"120","Tebo","Jambi","Region 7"
"121","Jambi","Jambi","Region 7"
"122","Sungai Penuh","Jambi","Region 7"
"123","Bengkulu Selatan","Bengkulu","Region 2"
"124","Bengkulu Tengah","Bengkulu","Region 2"
"125","Bengkulu Utara","Bengkulu","Region 2"
"126","Kaur","Bengkulu","Region 2"
